id;name;lat;lon
490005100;Wien Am Tabor;48.225105;16.38347
490174700;Wien Joseph-Roth-Gasse;48.22195;16.39423
490085900;Wien Mayerhofgasse;48.1926;16.366975
490051700;Wien Schönbrunner Straße/Kettenbrückengasse;48.194937;16.360988
490066400;Wien Kellermanngasse;48.205311;16.351567
490101700;Wien Piaristengasse;48.206353;16.351405
490073600;Wien Kölblgasse;48.191126;16.385708
490100900;Wien Perspektivstraße;48.217896;16.400909
490037100;Wien Seegasse;48.222974;16.36141
490038000;Wien Gaußplatz;48.226282;16.369905
490137500;Wien Theater in der Josefstadt;48.209589;16.350515
490123700;Wien Siebensterngasse;48.202209;16.351774
490048600;Wien Prater, Hauptallee;48.209437;16.406069
490190500;Wien Molkereistraße;48.218084;16.401116
490074700;Wien Lange Gasse;48.214974;16.350956
490012000;Wien Belvederegasse;48.190146;16.371955
490134000;Wien Strozzigasse;48.206443;16.349338
490065300;Wien Kardinal-Nagl-Platz;48.197337;16.400531
490189700;Wien Leopold-Moses-Gasse;48.22301;16.395533
490191800;Wien Krakauer Straße;48.224467;16.393196
490155900;Wien Lederergasse;48.209634;16.348762
490005600;Wien Neubaugasse;48.19829;16.350201
490075300;Wien Laudongasse;48.213248;16.349005
490081700;Wien Lukschgasse;48.202542;16.405673
490122600;Wien Sensengasse;48.2207;16.355594
490152900;Wien Ziegelofengasse;48.19242;16.36026
490060400;Wien Johann-Strauß-Gasse;48.189912;16.366112
490066200;Wien Haus des Meeres;48.197643;16.354048
490106100;Wien Rabengasse;48.194047;16.39761
490092100;Wien Neustiftgasse/Neubaugasse;48.205454;16.348978
490190600;Wien Max-Winter-Platz;48.221042;16.40037
490189200;Wien Messe-Prater;48.217788;16.4057
490092000;Wien Burggasse/Neubaugasse;48.204259;16.348951
490188100;Wien Welthandelsplatz;48.215486;16.405161
490094400;Wien Nordwestbahnstraße;48.228026;16.380971
490189800;Wien Harkortstraße;48.222183;16.399039
490034500;Wien Franz-Josefs-Bahnhof;48.225986;16.36115
490169400;Wien Klimschgasse;48.192798;16.396046
490007900;Wien Argentinierstraße;48.188537;16.376719
490088600;Wien Mommsengasse;48.188573;16.378742
490108800;Wien Westbahnstraße/Neubaugasse;48.201967;16.349059
490046100;Wien Oberzellergasse;48.191863;16.394967
490070900;Wien Jakov-Lind-Straße;48.224413;16.396315
490065400;Wien Karl-Meißl-Straße;48.228404;16.373627
490076200;Wien Lazarettgasse;48.218974;16.351756
490126700;Wien Skodagasse;48.215082;16.349104
490116500;Wien Südportalstraße;48.213212;16.407138
490030000;Wien Fasangasse;48.188411;16.385025
490190100;Wien Erlafstraße;48.22061;16.402302
490107900;Wien Rebhanngasse;48.227847;16.388261
490035700;Wien Friedensbrücke;48.227029;16.36488
490134600;Wien Quartier Belvedere;48.188024;16.381366
490101900;Wien Kolschitzkygasse;48.188132;16.37306
490076800;Wien Leibenfrostgasse;48.189957;16.36292
490106600;Wien Rainergasse;48.188726;16.368116
490144400;Wien Klosterneuburger Straße/Wallensteinstraße;48.228629;16.368341
490098900;Wien Karl-Popper-Straße;48.187422;16.379092
490169800;Wien Petrusgasse;48.192825;16.398725
490128800;Wien Spitalgasse;48.222282;16.353248
490144900;Wien Wasnergasse;48.22959;16.377249
490134900;Wien Hauptbahnhof;48.185184;16.376413
490076500;Wien Lechnerstraße;48.196636;16.404837
490082900;Wien Margaretenplatz/Schönbrunner Straße;48.19207;16.356457
490029300;Wien Esterházygasse;48.195108;16.350893
490144300;Wien Wallensteinplatz;48.229914;16.371038
490101800;Wien Pilgramgasse;48.192627;16.35448
490153200;Wien Neustiftgasse/Zieglergasse;48.205706;16.344897
490143300;Wien Vorgartenstraße;48.224089;16.401889
490033300;Wien Florianigasse;48.21279;16.345679
490083000;Wien Margaretenplatz;48.191036;16.357878
490153100;Wien Burggasse/Zieglergasse;48.204304;16.345023
490017800;Wien Brünnlbadgasse;48.215397;16.345733
490002900;Wien Nußdorfer Straße/Alserbachstraße;48.22479;16.354956
490107700;Wien Rauscherstraße;48.230759;16.375209
490075200;Wien Lassallestraße;48.223586;16.402482
490001900;Wien Albertgasse;48.210605;16.344034
490040000;Wien Heinrich-Drimmel-Platz;48.187952;16.39112
490191900;Wien Bruno-Marek-Allee;48.228458;16.392594
490062000;Wien Jungstraße;48.221087;16.405745
490153300;Wien Westbahnstraße/Zieglergasse;48.201814;16.344969
490118100;Wien Schottenfeldgasse;48.207585;16.343432
490136300;Wien Gertrude-Fröhlich-Sandner-Straße;48.185579;16.378301
490057800;Wien Innstraße;48.230516;16.386778
490113700;Wien Trabrennstraße;48.212358;16.411786
490013700;Wien Bezirksamt Margareten;48.190676;16.355001
490052300;Wien Hillerstraße;48.221132;16.407786
490011500;Wien Baumgasse;48.193292;16.404756
490028300;Wien Erdbergstr./Schlachthausgasse;48.195288;16.407974
490114800;Wien Viehmarktgasse;48.190487;16.401089
490154900;Wien Rustenschacherallee;48.201167;16.4113
490165800;Wien Lichtentaler Gasse;48.226957;16.356457
